1,20.0,J?qdths^Av?
2,20.0,J?ov?}w[vh?
3,20.0,J?otU`ohqm?
4,20.0,J?otR`U|Fi?
5,20.0,J?opvA\Zfk?
6,20.0,J?opvI]{fq?
7,20.0,J?qvFdy}By?
8,20.0,J?o~FFqnFw?
9,20.0,JCOcaOccf~_
10,20.0,JCOcbQTRdd_
11,20.0,JCOcf~}~f{?
12,20.0,JCOedO{rR{?
13,20.0,JCOedQeYTk?
14,20.0,JCOe`ZofD{?
15,20.0,JCOe`WmzFd?
16,20.0,JCOfeXsNfX?
17,20.0,JCQ`fJwVdu?
18,20.0,JCQfCx[Mjm?
19,20.0,JCQfAxsmbu?
20,20.0,JCQfA}]^Dy?
21,20.0,JCQebP{Mvh?
22,20.0,JCQe`p{yQ}?
23,20.0,JCQdb_|Vf[?
24,20.0,JCQdarWWuw?
25,20.0,JCQdbp]^B]?
26,20.0,JCQdfC{VCq_
27,20.0,JCQbdp[xd{?
28,20.0,JCQbdT[jej?
29,20.0,JCQbVz}~f{?
30,20.0,JCQQTjoJr\?
31,20.0,JCRbcqw^DN?
32,20.0,JCp`faiVc]?
33,20.0,JCpdf`[NbY?
34,20.0,JCdbJNw}N~_
35,20.0,JC~vf~}~f~_
36,20.0,JFzfvr~~v~?
37,20.0,JFzf~z{~v}_
38,20.0,JFzf~z{~vv_
39,20.0,JFzf~z}~Vv_
40,20.0,JQhTUji\V~_
41,20.0,JQj~vr~~v~?
42,20.0,JQzV~z{~~~?
43,20.0,JQ~vvj~~v}?
44,20.0,J~~~~~~~~~_
